qid,mode,box_ok,area,gold,pred,hit_n,file
1430,orig,True,0.11088000000000002,,,,results/rc/fig/000000_1430.png
1430,mark,True,0.11088000000000002,No,No.,1.0,results/rc/fig/000000_1430.png
1430,blur,True,0.11088000000000002,No,No.,1.0,results/rc/fig/000000_1430.png
1430,zoom,True,0.11088000000000002,No,No.,1.0,results/rc/fig/000000_1430.png
1430,mix,True,0.11088000000000002,No,No.,1.0,results/rc/fig/000000_1430.png
3752,orig,True,0.321536,,,,results/rc/fig/000001_3752.png
3752,mark,True,0.321536,Yes,Yes.,1.0,results/rc/fig/000001_3752.png
3752,blur,True,0.321536,Yes,Yes.,1.0,results/rc/fig/000001_3752.png
3752,zoom,True,0.321536,Yes,"Yes, the bird in the picture has a white nape and an all-purpose bill.",1.0,results/rc/fig/000001_3752.png
3752,mix,True,0.321536,Yes,Yes.,1.0,results/rc/fig/000001_3752.png
4191,orig,True,0.15616,,,,results/rc/fig/000002_4191.png
4191,mark,True,0.15616,No,No.,1.0,results/rc/fig/000002_4191.png
4191,blur,True,0.15616,No,No.,1.0,results/rc/fig/000002_4191.png
4191,zoom,True,0.15616,No,No.,1.0,results/rc/fig/000002_4191.png
4191,mix,True,0.15616,No,No.,1.0,results/rc/fig/000002_4191.png
4073,orig,True,0.39771599999999996,,,,results/rc/fig/000003_4073.png
4073,mark,True,0.39771599999999996,Yes,Yes.,1.0,results/rc/fig/000003_4073.png
4073,blur,True,0.39771599999999996,Yes,Yes.,1.0,results/rc/fig/000003_4073.png
4073,zoom,True,0.39771599999999996,Yes,Yes.,1.0,results/rc/fig/000003_4073.png
4073,mix,True,0.39771599999999996,Yes,Yes.,1.0,results/rc/fig/000003_4073.png
1955,orig,True,0.3552000000000001,,,,results/rc/fig/000004_1955.png
1955,mark,True,0.3552000000000001,No,No.,1.0,results/rc/fig/000004_1955.png
1955,blur,True,0.3552000000000001,No,No.,1.0,results/rc/fig/000004_1955.png
1955,zoom,True,0.3552000000000001,No,No.,1.0,results/rc/fig/000004_1955.png
1955,mix,True,0.3552000000000001,No,No.,1.0,results/rc/fig/000004_1955.png
3197,orig,True,0.21286800000000003,,,,results/rc/fig/000005_3197.png
3197,mark,True,0.21286800000000003,Yes,Yes.,1.0,results/rc/fig/000005_3197.png
3197,blur,True,0.21286800000000003,Yes,Yes.,1.0,results/rc/fig/000005_3197.png
3197,zoom,True,0.21286800000000003,Yes,Yes.,1.0,results/rc/fig/000005_3197.png
3197,mix,True,0.21286800000000003,Yes,Yes.,1.0,results/rc/fig/000005_3197.png
640,orig,True,0.41865600000000003,,,,results/rc/fig/000006_640.png
640,mark,True,0.41865600000000003,No,No.,1.0,results/rc/fig/000006_640.png
640,blur,True,0.41865600000000003,No,No.,1.0,results/rc/fig/000006_640.png
640,zoom,True,0.41865600000000003,No,No.,1.0,results/rc/fig/000006_640.png
640,mix,True,0.41865600000000003,No,No.,1.0,results/rc/fig/000006_640.png
3866,orig,True,0.26192400000000005,,,,results/rc/fig/000007_3866.png
3866,mark,True,0.26192400000000005,Yes,Yes.,1.0,results/rc/fig/000007_3866.png
3866,blur,True,0.26192400000000005,Yes,Yes.,1.0,results/rc/fig/000007_3866.png
3866,zoom,True,0.26192400000000005,Yes,Yes.,1.0,results/rc/fig/000007_3866.png
3866,mix,True,0.26192400000000005,Yes,Yes.,1.0,results/rc/fig/000007_3866.png
